News Heading,News Description,Date,Source,sentiment,Sentiment Class
Kenya's Lake Victoria is dying as government looks the other way,The second largest body of fresh water in the world is being suffocated by chemical waste and overfishing.,"Published on December 24, 2022 at 05h02, updated at 08h22 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/le-monde-africa/article/2022/12/24/in-kenya-lake-victoria-is-dying-of-overexploitation_6008918_124.html""> <span class=""teaser__kicker teaser__kicker--premium"">Feature</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Kenya's Lake Victoria is dying as government looks the other way</h3> <p class=""teaser__desc"">The second largest body of fresh water in the world is being suffocated by chemical waste and overfishing.</p> </a>",-0.125,negative
"In Ukraine, security services target the Orthodox Church","Suspected of being centers of Russian influence – nineteen monasteries, cathedrals and churches have been searched by Ukrainian intelligence service.","Published on December 24, 2022 at 05h01, updated at 08h36 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/24/in-ukraine-security-services-target-the-orthodox-church_6008917_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">In Ukraine, security services target the Orthodox Church</h3> <p class=""teaser__desc"">Suspected of being centers of Russian influence – nineteen monasteries, cathedrals and churches have been searched by Ukrainian intelligence service.</p> </a>",-0.2,negative
"'Qatargate': Michel Claise, the judge who 'followed the money' in EU corruption scandal","The Belgian magistrate behind the arrest of six people in Brussels, including three MEPs suspected of having received money from Qatar, has an impressive track record.","Published on December 24, 2022 at 04h00","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/m-le-mag/article/2022/12/24/qatargate-michel-claise-the-judge-who-followed-the-money-in-eu-corruption-scandal_6008914_117.html""> <span class=""teaser__kicker teaser__kicker--premium"">Profile</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">'Qatargate': Michel Claise, the judge who 'followed the money' in EU corruption scandal</h3> <p class=""teaser__desc"">The Belgian magistrate behind the arrest of six people in Brussels, including three MEPs suspected of having received money from Qatar, has an impressive track record.</p> </a>",0.0,neutral
Rapper Tory Lanez found guilty of shooting Megan Thee Stallion,"After a celebrity party near Hollywood in 2020, Mr. Lanez shot at her feet when she got out of a car they were both riding in.","Published on December 24, 2022 at 02h40","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/united-states/article/2022/12/24/rapper-tory-lanez-found-guilty-of-shooting-megan-thee-stallion_6008912_133.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Rapper Tory Lanez found guilty of shooting Megan Thee Stallion</h3> <p class=""teaser__desc"">After a celebrity party near Hollywood in 2020, Mr. Lanez shot at her feet when she got out of a car they were both riding in.</p> </a>",-0.5,negative
"Across the US, deadly winter storms leave 1.4 million homes in the dark","Some 240 million Americans, 70 percent of the population, were under weather warnings, as wind chills brought temperatures down as low as -48 Celsius.","Published on December 23, 2022 at 22h47, updated at 02h43 on December 24, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/united-states/article/2022/12/23/across-the-us-deadly-winter-storms-leave-1-4-million-homes-in-the-dark_6008908_133.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Across the US, deadly winter storms leave 1.4 million homes in the dark</h3> <p class=""teaser__desc"">Some 240 million Americans, 70 percent of the population, were under weather warnings, as wind chills brought temperatures down as low as -48 Celsius.</p> </a>",-0.175,negative
US Congress greenlights $1.7 trillion spending bill with Ukraine aid,"Lawmakers provided roughly $45 billion for Ukraine and NATO allies, more than even US President Joe Biden requested, an acknowledgment that future rounds of funding are not guaranteed with a new GOP-led House.","Published on December 23, 2022 at 20h14, updated at 20h29 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/united-states/article/2022/12/23/house-passes-1-7-trillion-spending-bill-with-ukraine-aid_6008896_133.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">US Congress greenlights $1.7 trillion spending bill with Ukraine aid</h3> <p class=""teaser__desc"">Lawmakers provided roughly $45 billion for Ukraine and NATO allies, more than even US President Joe Biden requested, an acknowledgment that future rounds of funding are not guaranteed with a new GOP-led House.</p> </a>",0.0,neutral
"For France, Iran's regime remains impenetrable","Held at a distance by an erratic visa policy, French diplomats have faced difficulty in understanding the Iranian regime, which is often dubbed a 'black box' due to its impenetrable nature.","Published on December 23, 2022 at 20h00, updated at 20h57 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/m-le-mag/article/2022/12/23/for-france-iran-s-regime-remains-impenetrable_6008895_117.html""> <span class=""teaser__kicker teaser__kicker--premium"">In Depth</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">For France, Iran's regime remains impenetrable</h3> <p class=""teaser__desc"">Held at a distance by an erratic visa policy, French diplomats have faced difficulty in understanding the Iranian regime, which is often dubbed a 'black box' due to its impenetrable nature.</p> </a>",0.0,neutral
"Giovanni Melillo, Italian prosecutor: 'Mafias no longer speak the language of crime, but of the market'","In an interview with 'Le Monde,' the Italian anti-mafia and anti-terrorism prosecutor says entire manufacturing sectors are now marked by the infiltration of these organizations.","Published on December 23, 2022 at 19h15, updated at 20h54 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/giovanni-melillo-anti-terrorism-prosecutor-mafias-no-longer-speak-the-language-of-crime-but-of-the-market_6008890_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">Interview</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Giovanni Melillo, Italian prosecutor: 'Mafias no longer speak the language of crime, but of the market'</h3> <p class=""teaser__desc"">In an interview with 'Le Monde,' the Italian anti-mafia and anti-terrorism prosecutor says entire manufacturing sectors are now marked by the infiltration of these organizations.</p> </a>",0.0,neutral
'Qatargate' threatens to derail EU-Gulf relations,"Since the corruption case emerged, EU member states have done everything they can to avoid targeting the emirate in official speeches. But the scandal is freezing the bloc's ambitions in the Gulf.","Published on December 23, 2022 at 18h30, updated at 18h30 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/qatargate-threatens-to-derail-eu-gulf-relations_6008886_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">Letter from...</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">'Qatargate' threatens to derail EU-Gulf relations</h3> <p class=""teaser__desc"">Since the corruption case emerged, EU member states have done everything they can to avoid targeting the emirate in official speeches. But the scandal is freezing the bloc's ambitions in the Gulf.</p> </a>",0.0,neutral
DR Congo's M23 rebels retreat from occupied territory in Kibumba,"The rebels left the strategic Kibumba area near Goma, eastern Congo's regional capital,  in line with an agreement made last month at a summit in Angola.","Published on December 23, 2022 at 18h04, updated at 18h08 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/dr-congo-s-m23-rebels-retreat-from-occupied-territory-in-kibumba_6008881_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">DR Congo's M23 rebels retreat from occupied territory in Kibumba</h3> <p class=""teaser__desc"">The rebels left the strategic Kibumba area near Goma, eastern Congo's regional capital,  in line with an agreement made last month at a summit in Angola.</p> </a>",0.0,neutral
Pakistan's former PM Imran Khan edges country toward destablization,"The former leader is continuing with his power struggle against the government, calling for early elections. The country is in the grip of an economic crisis and under repeated attacks by the Taliban.","Published on December 23, 2022 at 18h00","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/pakistan-s-former-pm-imran-khan-edges-country-toward-destablization_6008878_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Pakistan's former PM Imran Khan edges country toward destablization</h3> <p class=""teaser__desc"">The former leader is continuing with his power struggle against the government, calling for early elections. The country is in the grip of an economic crisis and under repeated attacks by the Taliban.</p> </a>",0.0,neutral
'Qatargate': EU scandal weakens Italy's already-struggling Democratic Party,The central role of a former member of Italy's Democratic Party is drawing negative attention to a party that was already facing political difficulty.,"Published on December 23, 2022 at 17h30","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/qatargate-eu-scandal-weakens-italy-s-already-struggling-democratic-party_6008875_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">'Qatargate': EU scandal weakens Italy's already-struggling Democratic Party</h3> <p class=""teaser__desc"">The central role of a former member of Italy's Democratic Party is drawing negative attention to a party that was already facing political difficulty.</p> </a>",0.0,neutral
Prosecutor clears Spanish forces over Melilla deaths,"At least 23 African migrants died in June, trying to reach the Spanish enclave.","Published on December 23, 2022 at 16h20","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/europe/article/2022/12/23/prosecutor-clears-spanish-forces-over-melilla-deaths_6008863_143.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Prosecutor clears Spanish forces over Melilla deaths</h3> <p class=""teaser__desc"">At least 23 African migrants died in June, trying to reach the Spanish enclave.</p> </a>",0.0,neutral
"Elon Musk, the savior of Twitter's conspiracy theorists",The new Twitter boss has created an environment where conspiracy theories can be spread throughout Twitter after reinstating the accounts of previously banned users. Conspiracy movements like QAnon are now supporting Musk.,"Published on December 23, 2022 at 15h00","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/les-decodeurs/article/2022/12/23/elon-musk-the-savior-of-twitter-s-conspiracy-theorists_6008856_8.html""> <span class=""teaser__kicker"">News analysis</span> <h3 class=""teaser__title"">Elon Musk, the savior of Twitter's conspiracy theorists</h3> <p class=""teaser__desc"">The new Twitter boss has created an environment where conspiracy theories can be spread throughout Twitter after reinstating the accounts of previously banned users. Conspiracy movements like QAnon are now supporting Musk.</p> </a>",0.0,neutral
Striking UK airport passport control staff leave passengers facing delays,"Around 1,000 workers at six UK airports are taking part in the stoppage on Friday, December 23 − the first of eight planned until January 1.","Published on December 23, 2022 at 12h22, updated at 12h24 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/passengers-face-long-delays-amid-passport-control-staff-strike-at-uk-airports_6008838_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Striking UK airport passport control staff leave passengers facing delays</h3> <p class=""teaser__desc"">Around 1,000 workers at six UK airports are taking part in the stoppage on Friday, December 23 − the first of eight planned until January 1.</p> </a>",0.5,positive
Macron calls for solving Lebanon's problems and 'getting rid of those who don't know how to',"The French president called on new leadership in Lebanon, and mentioned the possibility of a regional conference similar to the one he just co-chaired on Iraq.","Published on December 23, 2022 at 12h14, updated at 13h56 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/macron-calls-for-solving-lebanon-s-problems-and-getting-rid-of-those-who-don-t-know-how-to_6008835_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Macron calls for solving Lebanon's problems and 'getting rid of those who don't know how to'</h3> <p class=""teaser__desc"">The French president called on new leadership in Lebanon, and mentioned the possibility of a regional conference similar to the one he just co-chaired on Iraq.</p> </a>",0.0,neutral
Donald Trump's week of setbacks,"From the investigation into the assault on the Capitol last year to an incriminating tax audit, the former US president is plagued by scandal, with little support from the Republican Party.","Published on December 23, 2022 at 11h40, updated at 11h40 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/donald-trump-s-week-of-setbacks_6008828_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">In Depth</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Donald Trump's week of setbacks</h3> <p class=""teaser__desc"">From the investigation into the assault on the Capitol last year to an incriminating tax audit, the former US president is plagued by scandal, with little support from the Republican Party.</p> </a>",0.0,neutral
Macron urges Lebanon to 'get rid' of leaders blocking reforms,"Speaking to a Lebanese newspaper, the French president called for new leadership in the country whose economy is collapsing.","Published on December 23, 2022 at 11h13","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/macron-urges-lebanon-to-get-rid-of-leaders-blocking-reforms_6008826_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Macron urges Lebanon to 'get rid' of leaders blocking reforms</h3> <p class=""teaser__desc"">Speaking to a Lebanese newspaper, the French president called for new leadership in the country whose economy is collapsing.</p> </a>",0.0,neutral
Georgia court to rule over fate of former president Saakashvili,"Judges are to decide whether the former president, who has been imprisoned since his return to Georgia in 2021, should be released or have his sentence postponed on health grounds. Findings of a medical report established he was 'poisoned.'","Published on December 23, 2022 at 10h11","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/georgia-court-to-rule-over-fate-of-former-president-saakashvili_6008818_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Georgia court to rule over fate of former president Saakashvili</h3> <p class=""teaser__desc"">Judges are to decide whether the former president, who has been imprisoned since his return to Georgia in 2021, should be released or have his sentence postponed on health grounds. Findings of a medical report established he was 'poisoned.'</p> </a>",0.0,neutral
'Qatargate': Investigation reveals simple corruption scheme,Greek MEP Eva Kaili is still detained after a hearing on Thursday.,"Published on December 23, 2022 at 08h37, updated at 09h09 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/qatargate-investigation-reveals-simple-corruption-scheme_6008807_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">In Depth</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">'Qatargate': Investigation reveals simple corruption scheme</h3> <p class=""teaser__desc"">Greek MEP Eva Kaili is still detained after a hearing on Thursday.</p> </a>",0.0,neutral
'Qatargate': How members of the European Parliament voted on Qatar,"As suspicion turns inwards, members of the European Parliament are wondering to what extent Qatar managed to influence voting choices. 'Le Monde' analyses their record.","Published on December 23, 2022 at 05h00, updated at 14h32 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/les-decodeurs/article/2022/12/23/qatargate-how-members-of-the-european-parliament-voted-on-qatar_6008799_8.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">'Qatargate': How members of the European Parliament voted on Qatar</h3> <p class=""teaser__desc"">As suspicion turns inwards, members of the European Parliament are wondering to what extent Qatar managed to influence voting choices. 'Le Monde' analyses their record.</p> </a>",0.0,neutral
No World Cup trophy for Argentina's presidential palace,The political truce that was hoped for after Lionel Messi's team won the World Cup was short-lived.,"Published on December 23, 2022 at 04h16, updated at 09h11 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/no-world-cup-trophy-for-argentina-s-presidential-palace_6008796_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">No World Cup trophy for Argentina's presidential palace</h3> <p class=""teaser__desc"">The political truce that was hoped for after Lionel Messi's team won the World Cup was short-lived.</p> </a>",0.0,neutral
"In 845-page report, January 6 committee describes Trump's 'multi-part conspiracy'","The former president actively tried to overturn the lawful results of the 2020 presidential election and failed to act to stop his supporters from attacking the Capitol, details the report concluding an 18-month investigation.","Published on December 23, 2022 at 04h06, updated at 04h08 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/in-845-page-report-january-6-committee-describes-trump-s-multi-part-conspiracy_6008793_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">In 845-page report, January 6 committee describes Trump's 'multi-part conspiracy'</h3> <p class=""teaser__desc"">The former president actively tried to overturn the lawful results of the 2020 presidential election and failed to act to stop his supporters from attacking the Capitol, details the report concluding an 18-month investigation.</p> </a>",0.0,neutral
Diplomatic tensions between DRC and Rwanda reaches new heights after Kishishe tragedy,"Western capitals including Paris, Brussels and Berlin condemned Kigali's support for the March 23 Movement rebels.","Published on December 23, 2022 at 02h42, updated at 09h27 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/le-monde-africa/article/2022/12/23/diplomatic-tensions-between-drc-and-rwanda-reaches-new-heights-after-kishishe-tragedy_6008787_124.html""> <span class=""teaser__kicker teaser__kicker--premium"">In Depth</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Diplomatic tensions between DRC and Rwanda reaches new heights after Kishishe tragedy</h3> <p class=""teaser__desc"">Western capitals including Paris, Brussels and Berlin condemned Kigali's support for the March 23 Movement rebels.</p> </a>",0.13636363636363635,positive
Afghan women no longer allowed to attend university,The Taliban government demanded all higher education institutions implement the new order 'immediately.',"Published on December 23, 2022 at 01h49, updated at 09h15 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/afghan-women-no-longer-allowed-to-attend-university_6008784_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Afghan women no longer allowed to attend university</h3> <p class=""teaser__desc"">The Taliban government demanded all higher education institutions implement the new order 'immediately.'</p> </a>",0.0,neutral
"FTX founder allowed $250M bond, house arrest, after being charged for fraud of 'epic proportion'",Cryptocurrency entrepreneur will await trial at his parents' California home. He's been charged with fraud for swindling investors and looting customer deposits on his FTX trading platform.,"Published on December 23, 2022 at 01h01, updated at 01h17 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/ftx-founder-bankman-fried-allowed-250m-bond-house-arrest_6008782_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">FTX founder allowed $250M bond, house arrest, after being charged for fraud of 'epic proportion'</h3> <p class=""teaser__desc"">Cryptocurrency entrepreneur will await trial at his parents' California home. He's been charged with fraud for swindling investors and looting customer deposits on his FTX trading platform.</p> </a>",0.025,positive
Arctic storm brings holiday travel chaos to US,"The frigid air was moving Thursday through the central United States to the east, with windchill advisories affecting about 135 million people over the coming days. Temperatures are plummeting 50 degrees Fahrenheit in some areas.","Published on December 23, 2022 at 00h33, updated at 05h46 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/environment/article/2022/12/23/us-holiday-travel-upended-as-forecasters-warn-of-bomb-cyclone_6008777_114.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Arctic storm brings holiday travel chaos to US</h3> <p class=""teaser__desc"">The frigid air was moving Thursday through the central United States to the east, with windchill advisories affecting about 135 million people over the coming days. Temperatures are plummeting 50 degrees Fahrenheit in some areas.</p> </a>",0.0,neutral
Peru's political crisis reveals ungovernable country,"The impeached Peruvian president Pedro Castillo is in prison after an attempted coup. More broadly, the country's whole political system is seriously dysfunctional and has been for a long time.","Published on December 23, 2022 at 00h13, updated at 09h23 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/opinion/article/2022/12/23/peru-s-political-crisis-reveals-ungovernable-country_6008775_23.html""> <span class=""teaser__kicker teaser__kicker--premium"">News analysis</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Peru's political crisis reveals ungovernable country</h3> <p class=""teaser__desc"">The impeached Peruvian president Pedro Castillo is in prison after an attempted coup. More broadly, the country's whole political system is seriously dysfunctional and has been for a long time.</p> </a>",0.0,neutral
January 6 investigation's key witness recounts pressure from Trump allies,"In a testimony to the January 6 committee made public, former White House aide Cassidy Hutchinson describes attempts to influence her cooperation with Congress. In another set of transcripts released, documents show that Donald Trump and his allies had a direct hand in the Nevada fake electors scheme.","Published on December 23, 2022 at 00h01, updated at 04h45 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/23/january-6-investigation-s-key-witness-recounts-pressure-from-trump-allies_6008772_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">January 6 investigation's key witness recounts pressure from Trump allies</h3> <p class=""teaser__desc"">In a testimony to the January 6 committee made public, former White House aide Cassidy Hutchinson describes attempts to influence her cooperation with Congress. In another set of transcripts released, documents show that Donald Trump and his allies had a direct hand in the Nevada fake electors scheme.</p> </a>",0.0,neutral
